Date,Price
12/20/2021,Rp. 13.366
12/21/2021,Rp. 13.362
12/22/2021,Rp. 13.356
12/23/2021,Rp. 13.383
12/24/2021,Rp. 13.383
12/25/2021,Rp. 13.383
12/26/2021,Rp. 13.383
12/27/2021,Rp. 13.387
12/28/2021,Rp. 13.383
12/29/2021,Rp. 13.369
12/30/2021,Rp. 13.369
12/31/2021,Rp. 13.369
1/1/2022,Rp. 13.369
1/2/2022,Rp. 13.369
1/3/2022,Rp. 13.364
1/4/2022,Rp. 13.366
1/5/2022,Rp. 13.372
1/6/2022,Rp. 13.372
1/7/2022,Rp. 13.372
1/8/2022,Rp. 13.372
1/9/2022,Rp. 13.372
1/10/2022,Rp. 13.373
1/11/2022,Rp. 13.367
1/12/2022,Rp. 13.403
1/13/2022,Rp. 13.403
1/14/2022,Rp. 13.403
1/15/2022,Rp. 13.403
1/16/2022,Rp. 13.403
1/17/2022,Rp. 13.403
1/18/2022,Rp. 13.435
1/19/2022,Rp. 13.438
1/20/2022,Rp. 13.438
1/21/2022,Rp. 13.438
1/22/2022,Rp. 13.438
1/23/2022,Rp. 13.438
1/24/2022,Rp. 13.438
1/25/2022,Rp. 13.436
1/26/2022,Rp. 13.435
1/27/2022,Rp. 13.435
1/28/2022,Rp. 13.435
1/29/2022,Rp. 13.435
1/30/2022,Rp. 13.435
1/31/2022,Rp. 13.435
2/1/2022,Rp. 13.441
2/2/2022,Rp. 13.445
2/3/2022,Rp. 13.445
2/4/2022,Rp. 13.445
2/5/2022,Rp. 13.445
2/6/2022,Rp. 13.445
2/7/2022,Rp. 13.445
2/8/2022,Rp. 13.445
2/9/2022,Rp. 13.444
2/10/2022,Rp. 13.444
2/11/2022,Rp. 13.444
2/12/2022,Rp. 13.444
2/13/2022,Rp. 13.444
2/14/2022,Rp. 13.441
2/15/2022,Rp. 13.444
2/16/2022,Rp. 13.444
2/17/2022,Rp. 13.444
2/18/2022,Rp. 13.444
2/19/2022,Rp. 13.444
2/20/2022,Rp. 13.444
2/21/2022,Rp. 13.444
2/22/2022,Rp. 13.448
2/23/2022,Rp. 13.452
2/24/2022,Rp. 13.452
2/25/2022,Rp. 13.452
2/26/2022,Rp. 13.452
2/27/2022,Rp. 13.452
2/28/2022,Rp. 13.452
3/1/2022,Rp. 13.327
3/2/2022,Rp. 13.350
3/3/2022,Rp. 13.350
3/4/2022,Rp. 13.350
3/5/2022,Rp. 13.350
3/6/2022,Rp. 13.350
3/7/2022,Rp. 13.350
3/8/2022,Rp. 13.332
3/9/2022,Rp. 13.332
3/10/2022,Rp. 13.332
3/11/2022,Rp. 13.332
3/12/2022,Rp. 13.332
3/13/2022,Rp. 13.332
3/14/2022,Rp. 13.332
3/15/2022,Rp. 13.338
3/16/2022,Rp. 13.338
3/17/2022,Rp. 13.338
3/18/2022,Rp. 13.338
3/19/2022,Rp. 13.338
3/20/2022,Rp. 13.338
3/21/2022,Rp. 13.338
3/22/2022,Rp. 13.338
3/23/2022,Rp. 13.341
3/24/2022,Rp. 13.341
3/25/2022,Rp. 13.341
3/26/2022,Rp. 13.341
3/27/2022,Rp. 13.341
3/28/2022,Rp. 13.341
3/29/2022,Rp. 13.341
3/30/2022,Rp. 13.332
3/31/2022,Rp. 13.332
4/1/2022,Rp. 13.332
4/2/2022,Rp. 13.332
4/3/2022,Rp. 13.332
4/4/2022,Rp. 13.332
4/5/2022,Rp. 13.332
4/6/2022,Rp. 13.333
4/7/2022,Rp. 13.319
4/8/2022,Rp. 13.319
4/9/2022,Rp. 13.319
4/10/2022,Rp. 13.319
4/11/2022,Rp. 13.319
4/12/2022,Rp. 13.319
4/13/2022,Rp. 13.355
4/14/2022,Rp. 13.355
4/15/2022,Rp. 13.355
4/16/2022,Rp. 13.355
4/17/2022,Rp. 13.355
4/18/2022,Rp. 13.355
4/19/2022,Rp. 13.355
4/20/2022,Rp. 13.356
4/21/2022,Rp. 13.356
4/22/2022,Rp. 13.356
4/23/2022,Rp. 13.356
4/24/2022,Rp. 13.356
4/25/2022,Rp. 13.356
4/26/2022,Rp. 13.347
4/27/2022,Rp. 13.353
4/28/2022,Rp. 13.353
4/29/2022,Rp. 13.353
4/30/2022,Rp. 13.353
5/1/2022,Rp. 13.353
5/2/2022,Rp. 13.353
5/3/2022,Rp. 13.373
5/4/2022,Rp. 13.374
5/5/2022,Rp. 13.420
5/6/2022,Rp. 13.410
5/7/2022,Rp. 13.410
5/8/2022,Rp. 13.413
5/9/2022,Rp. 13.400
5/10/2022,Rp. 13.400
5/11/2022,Rp. 13.368
5/12/2022,Rp. 13.368
5/13/2022,Rp. 13.368
5/14/2022,Rp. 13.368
5/15/2022,Rp. 13.368
5/16/2022,Rp. 13.368
5/17/2022,Rp. 13.362
5/18/2022,Rp. 13.362
5/19/2022,Rp. 13.362
5/20/2022,Rp. 13.362
5/21/2022,Rp. 13.362
5/22/2022,Rp. 13.362
5/23/2022,Rp. 13.362
5/24/2022,Rp. 13.361
5/25/2022,Rp. 13.347
5/26/2022,Rp. 13.347
5/27/2022,Rp. 13.347
5/28/2022,Rp. 13.347
5/29/2022,Rp. 13.347
5/30/2022,Rp. 13.347
5/31/2022,Rp. 13.289
6/1/2022,Rp. 13.289
6/2/2022,Rp. 13.289
6/3/2022,Rp. 13.289
6/4/2022,Rp. 13.289
6/5/2022,Rp. 13.289
6/6/2022,Rp. 13.289
6/7/2022,Rp. 13.294
6/8/2022,Rp. 13.295
6/9/2022,Rp. 13.295
6/10/2022,Rp. 13.295
6/11/2022,Rp. 13.362
6/12/2022,Rp. 13.295
6/13/2022,Rp. 13.295
6/14/2022,Rp. 13.353
6/15/2022,Rp. 13.352
6/16/2022,Rp. 13.352
6/17/2022,Rp. 13.352
6/18/2022,Rp. 13.352
6/19/2022,Rp. 13.352
6/20/2022,Rp. 13.352
6/21/2022,Rp. 13.348
6/22/2022,Rp. 13.347
6/23/2022,Rp. 13.347
6/24/2022,Rp. 13.347
6/25/2022,Rp. 13.347
6/26/2022,Rp. 13.347
6/27/2022,Rp. 13.347
6/28/2022,Rp. 13.347
6/29/2022,Rp. 13.350
6/30/2022,Rp. 13.350
7/1/2022,Rp. 13.350
7/2/2022,Rp. 13.350
7/3/2022,Rp. 13.350
7/4/2022,Rp. 13.350
7/5/2022,Rp. 13.342
7/6/2022,Rp. 13.342
7/7/2022,Rp. 13.342
7/8/2022,Rp. 13.342
7/9/2022,Rp. 13.342
7/10/2022,Rp. 13.342
7/11/2022,Rp. 13.342
7/12/2022,Rp. 13.342
7/13/2022,Rp. 13.317
7/14/2022,Rp. 13.317
7/15/2022,Rp. 13.317
7/16/2022,Rp. 13.317
7/17/2022,Rp. .384
7/18/2022,Rp. 13.317
7/19/2022,Rp. 13.317
7/20/2022,Rp. 13.341
7/21/2022,Rp. 13.341
7/22/2022,Rp. 13.341
7/23/2022,Rp. 13.341
7/24/2022,Rp. 13.341
7/25/2022,Rp. 13.330
7/26/2022,Rp. 13.305
7/27/2022,Rp. 13.309
7/28/2022,Rp. 13.309
7/29/2022,Rp. 13.309
7/30/2022,Rp. 13.309
7/31/2022,Rp. 13.309
8/1/2022,Rp. 13.309
8/2/2022,Rp. 13.295
8/3/2022,Rp. 13.288
8/4/2022,Rp. 13.314
8/5/2022,Rp. 13.314
8/6/2022,Rp. 13.314
8/7/2022,Rp. 13.314
8/8/2022,Rp. 13.314
8/9/2022,Rp. 13.314
8/10/2022,Rp. 13.314
8/11/2022,Rp. 13.314
8/12/2022,Rp. 13.348
8/13/2022,Rp. 13.348
8/14/2022,Rp. 13.348
8/15/2022,Rp. 13.348
8/16/2022,Rp. 13.348
8/17/2022,Rp. 13.348
8/18/2022,Rp. 13.348
8/19/2022,Rp. 13.348
8/20/2022,Rp. 13.348
8/21/2022,Rp. 13.348
8/22/2022,Rp. 13.348
8/23/2022,Rp. 13.353
8/24/2022,Rp. 13.353
8/25/2022,Rp. 13.353
8/26/2022,Rp. 13.353
8/27/2022,Rp. 13.353
8/28/2022,Rp. 13.353
8/29/2022,Rp. 13.353
8/30/2022,Rp. 13.353
8/31/2022,Rp. 13.350
9/1/2022,Rp. 13.350
9/2/2022,Rp. 13.350
9/3/2022,Rp. 13.350
9/4/2022,Rp. 13.350
9/5/2022,Rp. 13.353
9/6/2022,Rp. 13.355
9/7/2022,Rp. 13.365
9/8/2022,Rp. 13.365
9/9/2022,Rp. 13.365
9/10/2022,Rp. 13.365
9/11/2022,Rp. 13.365
9/12/2022,Rp. 13.365
9/13/2022,Rp. 13.365
9/14/2022,Rp. 13.361
9/15/2022,Rp. 13.361
9/16/2022,Rp. 13.361
9/17/2022,Rp. 13.361
9/18/2022,Rp. 13.361
9/19/2022,Rp. 13.364
9/20/2022,Rp. 13.373
9/21/2022,Rp. 13.373
9/22/2022,Rp. 13.373
9/23/2022,Rp. 13.373
9/24/2022,Rp. 13.373
9/25/2022,Rp. 13.430
9/26/2022,Rp. 13.373
9/27/2022,Rp. 13.379
9/28/2022,Rp. 13.480
9/29/2022,Rp. 13.480
9/30/2022,Rp. 13.480
10/1/2022,Rp. 13.480
10/2/2022,Rp. 13.480
10/3/2022,Rp. 13.477
10/4/2022,Rp. 13.528
10/5/2022,Rp. 13.531
10/6/2022,Rp. 13.531
10/7/2022,Rp. 13.531
10/8/2022,Rp. 13.531
10/9/2022,Rp. 13.531
10/10/2022,Rp. 13.531
10/11/2022,Rp. 13.486
10/12/2022,Rp. 13.503
10/13/2022,Rp. 13.503
10/14/2022,Rp. 13.503
10/15/2022,Rp. 13.503
10/16/2022,Rp. 13.503
10/17/2022,Rp. 13.503
10/18/2022,Rp. 13.503
10/19/2022,Rp. 13.524
10/20/2022,Rp. 13.524
10/21/2022,Rp. 13.524
10/22/2022,Rp. 13.524
10/23/2022,Rp. 13.524
10/24/2022,Rp. 13.524
10/25/2022,Rp. 13.532
10/26/2022,Rp. 13.530
10/27/2022,Rp. 13.530
10/28/2022,Rp. 13.530
10/29/2022,Rp. 13.530
10/30/2022,Rp. 13.530
10/31/2022,Rp. 13.530
11/1/2022,Rp. 13.512
11/2/2022,Rp. 13.509
11/3/2022,Rp. 13.509
11/4/2022,Rp. 13.509
11/5/2022,Rp. 13.509
11/6/2022,Rp. 13.509
11/7/2022,Rp. 13.509
11/8/2022,Rp. 13.509
11/9/2022,Rp. 13.509
