Date,Price
12/21/2023,15012
12/22/2023,15012
12/23/2023,15012
12/24/2023,15012
12/25/2023,15012
12/26/2023,15028
12/27/2023,15038
12/28/2023,15085
12/29/2023,15085
12/30/2023,15085
12/31/2023,15085
1/1/2024,15085
